precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso,pagina
Desde $ 573.900.000,"Apartamento en Pereira, Risaralda","Riviera verde etapa 3, apartamento en venta en galicia, pereira",3 Habs.,2 Baños,70 m²,https://www.fincaraiz.com.co/proyectos-vivienda/riviera-verde-etapa-3-apartamentos-en-venta-en-galicia-pereira/15017990,4
$ 320.000.000,"Casa en Pereira, Risaralda","Casa en venta en cuba, pereira",4 Habs.,2 Baños,120 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cuba-pereira/194159404,4
$ 1.370.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",4725 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/194019791,4
$ 650.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en morelia, pereira",4 Habs.,3 Baños,200 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-morelia-pereira/194244052,4
$ 630.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,2 Baños,89 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193712705,4
$ 920.000.000,"Casa en Pereira, Risaralda","Casa en venta en galicia, pereira",3 Habs.,2 Baños,165 m²,https://www.fincaraiz.com.co/casa-en-venta-en-galicia-pereira/194212238,4
$ 1.550.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",4 Habs.,5 Baños,172 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/194207020,4
$ 370.000.000,"Casa en Pereira, Risaralda","Casa en venta en sauces iv etapa, pereira",4 Habs.,2 Baños,132 m²,https://www.fincaraiz.com.co/casa-en-venta-en-sauces-iv-etapa-pereira/194058688,4
$ 850.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en circunvalar - alamos, pereira",4 Baños,193 m²,,https://www.fincaraiz.com.co/local-en-venta-en-circunvalar-alamos-pereira/193136513,4
Desde $ 868.000.000,"Apartamento en Pereira, Risaralda","Hacienda canaán apartamentos, apartamentos en venta en los alamos, pereira",3 Habs.,2 Baños,99.7 m²,https://www.fincaraiz.com.co/proyectos-vivienda/hacienda-canaan-apartamentos-apartamentos-en-venta-en-los-alamos-pereira/10612786,4
$ 320.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,4 Habs.,2 Baños,140 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/194218429,4
$ 1.700.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en los rosales, pereira",1 Ambiente,2 Baños,380 m²,https://www.fincaraiz.com.co/local-en-venta-en-los-rosales-pereira/7062916,4
$ 450.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,5 Habs.,2 Baños,120 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193405728,4
$ 2.100.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",5 Habs.,3 Baños,800 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193173461,4
$ 295.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centro, pereira",3 Habs.,2 Baños,68 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centro-pereira/192865332,4
$ 1.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,5 Baños,1500 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/194227408,4
$ 1.300.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en pueblito cafetero, pereira",3 Habs.,3 Baños,1842 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pueblito-cafetero-pereira/193904464,4
Desde $ 664.600.000,"Casa en Pereira, Risaralda","Riviera verde etapa 2, casa en venta en galicia, pereira",3 Habs.,3 Baños,83.27 m²,https://www.fincaraiz.com.co/proyectos-vivienda/riviera-verde-etapa-2-casas-en-venta-en-galicia-pereira/10122326,5
$ 270.000.000,"Casa en Pereira, Risaralda","Casa en venta en villa del prado, pereira",3 Habs.,1 Baño,72 m²,https://www.fincaraiz.com.co/casa-en-venta-en-villa-del-prado-pereira/194170055,5
$ 1.600.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",6 Habs.,6 Baños,466 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/194058713,5
$ 450.000.000,"Casa Lote en Pereira, Risaralda","Casa lote en venta en cuba, pereira",4 Habs.,2 Baños,198 m²,https://www.fincaraiz.com.co/casa-lote-en-venta-en-cuba-pereira/194145847,5
$ 180.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en mirador de llano grande, pereira",3 Habs.,2 Baños,46 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-mirador-de-llano-grande-pereira/194066635,5
$ 1.800.000.000,"Bodega en Pereira, Risaralda","Bodega en venta en centro, pereira",1 Ambiente,3 Baños,628 m²,https://www.fincaraiz.com.co/bodega-en-venta-en-centro-pereira/7818605,5
$ 1.350.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en tribunas corcega, pereira",3 Habs.,2 Baños,1500 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/194186640,5
$ 3.000.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en pueblito cafetero, pereira",5 Habs.,7 Baños,560 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pueblito-cafetero-pereira/192845201,5
